1,0,8,年,0,7,月,1,6,日, ,外,資,及,陸,資,買,賣,超,彙,總,表
,證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
 ,8261  ,富鼎            ,"207,000","138,000","69,000",0,0,0,"207,000","138,000","69,000"
 ,037215,健策元富89購01  ,"67,000",0,"67,000",0,0,0,"67,000",0,"67,000"
 ,043483,和鑫群益92購01  ,"67,000",0,"67,000",0,0,0,"67,000",0,"67,000"
 ,3014  ,聯陽            ,"129,000","62,000","67,000",0,0,0,"129,000","62,000","67,000"
 ,00739 ,元大MSCI A股    ,"66,000",0,"66,000",0,0,0,"66,000",0,"66,000"
 ,1417  ,嘉裕            ,"75,000","9,000","66,000",0,0,0,"75,000","9,000","66,000"
 ,6541  ,泰福-KY         ,"79,000","13,000","66,000",0,0,0,"79,000","13,000","66,000"
 ,1733  ,五鼎            ,"77,000","12,000","65,000",0,0,0,"77,000","12,000","65,000"
 ,3532  ,台勝科          ,"412,000","347,000","65,000",0,0,0,"412,000","347,000","65,000"
 ,3703  ,欣陸            ,"150,000","88,000","62,000",0,0,0,"150,000","88,000","62,000"
 ,6533  ,晶心科          ,"88,000","26,000","62,000",0,0,0,"88,000","26,000","62,000"
 ,040135,台積電國票8C購02,"60,000",0,"60,000",0,0,0,"60,000",0,"60,000"
 ,040421,新日興兆豐8C購01,"105,000","45,000","60,000",0,0,0,"105,000","45,000","60,000"
 ,041301,聯詠兆豐8B購01  ,"105,000","45,000","60,000",0,0,0,"105,000","45,000","60,000"
 ,042787,新日興兆豐93購01,"105,000","45,000","60,000",0,0,0,"105,000","45,000","60,000"
 ,042935,榮成群益91購01  ,"105,000","45,000","60,000",0,0,0,"105,000","45,000","60,000"
 ,043321,聯電統一91購01  ,"70,000","10,000","60,000",0,0,0,"70,000","10,000","60,000"
 ,3617  ,碩天            ,"62,000","4,000","58,000",0,0,0,"62,000","4,000","58,000"
 ,006205,富邦上証        ,"56,000",0,"56,000",0,0,0,"56,000",0,"56,000"
 ,1905  ,華紙            ,"140,000","84,000","56,000",0,0,0,"140,000","84,000","56,000"
 ,2034  ,允強            ,"124,000","68,000","56,000",0,0,0,"124,000","68,000","56,000"
 ,00643 ,群益深証中小    ,"57,000","2,000","55,000",0,0,0,"57,000","2,000","55,000"
 ,040664,臻鼎國票8B購01  ,"55,000",0,"55,000",0,0,0,"55,000",0,"55,000"
 ,2488  ,漢平            ,"76,000","21,000","55,000",0,0,0,"76,000","21,000","55,000"
 ,2359  ,所羅門          ,"60,000","6,000","54,000",0,0,0,"60,000","6,000","54,000"
 ,043490,台積電統一91購09,"53,000",0,"53,000",0,0,0,"53,000",0,"53,000"
 ,2417  ,圓剛            ,"64,000","11,000","53,000",0,0,0,"64,000","11,000","53,000"
 ,2489  ,瑞軒            ,"189,000","136,000","53,000",0,0,0,"189,000","136,000","53,000"
 ,040889,瑞儀國票8B購01  ,"52,000",0,"52,000",0,0,0,"52,000",0,"52,000"
 ,3312  ,弘憶股          ,"77,000","25,000","52,000",0,0,0,"77,000","25,000","52,000"
 ,00642U,元大S&P石油     ,"51,000",0,"51,000",0,0,0,"51,000",0,"51,000"
 ,2349  ,錸德            ,"105,000","54,000","51,000",0,0,0,"105,000","54,000","51,000"
 ,5305  ,敦南            ,"352,000","301,000","51,000",0,0,0,"352,000","301,000","51,000"
 ,2207  ,和泰車          ,"114,000","65,000","49,000",0,0,0,"114,000","65,000","49,000"
 ,2228  ,劍麟            ,"53,000","4,000","49,000",0,0,0,"53,000","4,000","49,000"
 ,6668  ,中揚光          ,"59,000","10,000","49,000",0,0,0,"59,000","10,000","49,000"
 ,1701  ,中化            ,"57,000","9,000","48,000",0,0,0,"57,000","9,000","48,000"
 ,2453  ,凌群            ,"165,000","117,000","48,000",0,0,0,"165,000","117,000","48,000"
 ,6155  ,鈞寶            ,"51,000","3,000","48,000",0,0,0,"51,000","3,000","48,000"
 ,6172  ,互億            ,"63,000","15,000","48,000",0,0,0,"63,000","15,000","48,000"
 ,037418,同欣電永豐89購01,"105,000","58,000","47,000",0,0,0,"105,000","58,000","47,000"
 ,4956  ,光鋐            ,"47,000",0,"47,000",0,0,0,"47,000",0,"47,000"
 ,1598  ,岱宇            ,"82,000","36,000","46,000",0,0,0,"82,000","36,000","46,000"
 ,1760  ,寶齡富錦        ,"99,000","53,000","46,000",0,0,0,"99,000","53,000","46,000"
 ,034561,超眾中信89購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,035554,GIS國票89購01   ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,036038,南亞科統一8B購01,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,038666,凌陽永豐8A購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,039098,上証反中信8C購02,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,039430,正文國票8A購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040139,創意日盛8B購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040360,儒鴻國票8B購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040364,台達電國票8B購01,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040369,中信金國票8B購01,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040433,中信金群益91購01,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040483,廣達中信8C購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040501,大立光國票8C購02,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040699,新日興群益8B購03,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040743,正崴中信8B購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,040891,儒鴻兆豐8C購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,041343,創意第一8B購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,041803,華新科元富8C購01,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,042232,智伸科永豐8C購01,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,042329,康控國票8C購02  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,042383,嘉聯益兆豐91購01,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,042576,康控第一8C購01  ,"90,000","45,000","45,000",0,0,0,"90,000","45,000","45,000"
 ,042824,台積電兆豐91購01,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,042896,台積電永昌93購04,"90,000","45,000","45,000",0,0,0,"90,000","45,000","45,000"
 ,043065,柏文中信91購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,043091,京元電凱基91購01,"60,000","15,000","45,000",0,0,0,"60,000","15,000","45,000"
 ,043143,味全統一92購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,043235,柏文中信93購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,043447,鎧勝永豐91購01  ,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,043479,元上證國票91購01,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
 ,043488,大立光兆豐91購03,"45,000",0,"45,000",0,0,0,"45,000",0,"45,000"
